,Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,Tax Parcel
1045,MEEI - SERI,Yes,Laboratory,20 Staniford St,02114,71900,535.6,Not Available,,Laboratory,2004,2995.2,41.7,38507570.9,0.38,0,0.62,,,,0300624000
1046,MEEI -Longwood,Yes,Ambulatory Surgical Center,800 Huntington Ave,02115,76300,205.2,Not Available,,Ambulatory Surgical Center,2012,1177.2,15.4,15660106.3,0.51,0.49,,,,,1000894000
1047,Mellon Hall,Yes,Residence Hall/Dormitory,670 Soldiers Field Road,02163,47698,71.1,81,,Residence Hall/Dormitory,1926,251.6,5.3,3390572.4,0.26,,0.74,22.5,,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 88% of the meter shared with Wilder House.  Allocation is by GSF.",2200530000
1048,MENDELL,Municipal,K-12 School,164 School St.,02119,31892,65.5,92,,K-12 School,1904,126.4,4,2088325.8,0.17029236338506185,0.8297076655946116,,,,,Not Available
1049,Menino Community Center,Municipal,Other - Recreation,125 Brookway Rd,02131,12000,56.1,Not Available,,Other - Recreation,2000,44.6,3.7,672901.2,0.3030179170433936,0.6969820294569248,,,,,Not Available
1050,Mercantile Wharf: Mercantile Wharf,Yes,Multifamily Housing,111 Atlantic Avenue,02110,230000,58,59,,Multifamily Housing,1974,877.9,3.8,13347321.7,0.29,0.71,,36.7,,,0303636000
1051,Merck MRL Boston,Yes,Laboratory,33 Avenue Louis PAsteur,02115,405163,419.8,Not Available,,"Laboratory, Parking",2004,13217.1,32.6,170102556.8,0.37,0,0.62,33.8,,,Not Available
1052,Mesick Hall,Yes,College/University,291 Brookline Avenue,02115,25900,100.3,Not Available,,College/University,1961,163,6.3,2596562.6,0.22,0.78,,31.7,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",0402020000
1053,Methunion,Yes,Multifamily Housing,465 Columbus Avenue,02116,42998,141.3,15,,"Multifamily Housing, Retail Store",1971,390.8,9.1,6074218.2,0.26,0.74,,48.4,,"According to Boston's tax assessor database, parcel id 0400790000 has a living area of 45,822 square feet. This building also has less than 50 units. It seems that this development was erroneously required to report and that the requirement to report was based on a roll-up of unit counts across different apartment complexes owned by the same owner.",0400790000
1054,Midway Studios: 15 Channel Center Street,Yes,Multifamily Housing,15 Channel Center St,02210,203500,41.7,52,,Multifamily Housing,2005,672.1,3.3,8477867.3,0.6,0.4,,15,,,0602750050
1055,MILDRED,Municipal,K-12 School,Mildred Ave.,02122,214093,61.3,62,,K-12 School,2002,945.5,4.4,13120930.3,0.4342398313022057,0.5657601971256566,,,,,Not Available
1056,Millennium Avery Condo Tr,Yes,Multifamily Housing,580 Washington Street,02111,280000,74.6,37,,Multifamily Housing,1900,1479.9,5.3,20880668.9,0.41,0.59,,42.2,,,0304832400
1057,Millennium Place Primary- North Tower,Yes,Multifamily Housing,1-3 Avery Street,02111,362409,83.6,5,,"Multifamily Housing, Restaurant",2001,2355.2,6.5,30292682.4,0.56,0.44,,27.4,,,0304870010 0304870020 0304870400
1058,Millennium Place Primary-South Tower,Yes,Mixed Use Property,2 Avery Street,02111,895973,109.9,Not Available,,"Fitness Center/Gym, Hotel, Movie Theater, Multifamily Housing, Office, Parking, Retail Store",2000,6061.7,6.8,98470982.6,0.19,0.81,,46.6,,,0304870400
1059,Miller Hall,Yes,Residence Hall/Dormitory,10 Somerset Street,02108,131253,128.6,27,,Residence Hall/Dormitory,2004,1305.3,9.9,16880977.8,0.37,0.03,0.6,25,,,Not Available
1060,Mirabella Pool,Municipal,Other - Recreation,475 Commercial St,02109,3220,101.1,Not Available,,Other - Recreation,2003,29.2,9.1,325687,0.8372671921200415,0.16273293253952414,,,,,Not Available
1061,"Mishawum Park: Bldgs 17, 18, and 20",Yes,Multifamily Housing,216 Main Street,02129,30425,58.2,94,,Multifamily Housing,1974,113.2,3.7,1771016.4,0.25,0.75,,33.3,,,0202315000
1062,"Mishawum Park: Bldgs 9,10,11, and 12",Yes,Multifamily Housing,290 Main Street,02129,98577,65.5,77,,Multifamily Housing,1974,436.4,4.4,6459794.8,0.33,0.67,,6.8,,,0202390000
1063,MISSION,Municipal,K-12 School,67 Alleghany St.,02120,64400,51.4,96,,K-12 School,1925,204.1,3.2,3311164.8,0.19523788607561907,0.8047621081744406,,,,,Not Available
1064,Mission Main Phase 1,Yes,Multifamily Housing,43 Smith Street,02120,380068,63.7,91,,"Multifamily Housing, Parking, Retail Store",2000,1481.2,3.9,24220327.9,0.18,0.82,,68,,,10000010051000001050
1065,Mission Main Phase 2,Yes,Multifamily Housing,1 Cornelia Street,02120,187364,61.5,99,,"Multifamily Housing, Parking",2000,663.6,3.5,11524348.5,0.1,0.9,,77.5,,,1000001020100000102110000010301000001031100000104010000010411000001045
1066,Mission Main Phase 3,Yes,Multifamily Housing,39 McGreevey Way,02120,115752,63.3,98,,"Multifamily Housing, Parking",2000,419.8,3.6,7331709.6,0.1,0.9,,84.3,,,1000001025
1067,Mission Park Apartments,Yes,Multifamily Housing,75 Federal Street 4th Floor,02110,786880,97.6,50,,Multifamily Housing,1990,4678.7,5.9,76801082.4,0.18,0.82,,8.4,,,1000290000
1068,Modern Theater and 10 West Combined,Yes,Residence Hall/Dormitory,525 Washington Street - 10 West Street,02111,190128,54.4,Not Available,,"Performing Arts, Residence Hall/Dormitory",2010,755.2,4,10334109,0.46,0.54,,25.2,,"Because these two properties share water they are being reported together.  

The parcel ID#'s are:  

10 West: 0304826010
Modern Theater: 0304828000",Not Available
1069,Morgan Hall,Yes,Office,15 Harvard Way,02163,117707,58.5,93,,Office,1927,551.6,4.7,6881386.1,0.45,,0.55,23.8,54324,"Water is allocated by gross square footage for this property, and does not represent actual usage.

A 48 kW solar PV system had been installed at Morgan Hall in March 2014.",2200530000
1070,Morgan Memorial Goodwill Industries,Yes,Other,1010 Harrison Ave.,02119,103000,75.3,Not Available,,"Office, Other, Restaurant, Retail Store",1986,600.8,5.8,7757151.4,0.56,0.44,,58,,"Morgan Memorial Goodwill runs a14,000 square foot retail store with a front entrance on Harrison Ave for the public",0802375000
1071,Morris Hall,Yes,Residence Hall/Dormitory,14 Harvard Way,02163,50786,49.1,92,,Residence Hall/Dormitory,1926,190.6,3.8,2494184,0.33,,0.67,21.9,,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 29% of the meter shared with Gallatin, Hamilton, Connell, Loeb, Ludcke, Wyss. Allocation is by GSF.",2200530000
1072,Morrissey Plaza,Yes,Retail Store,725 William T Morrissey Boulevard,02122,84470,76.7,40,,Retail Store,1965,499.4,5.9,6477271.2,0.55,0.45,,10.6,,"Boston Parcel ID# 1600247000
at 729 William T Morrissey Boulevard, Dorchester, MA 02122.
The address aligns with Kimco's Borough Block Lot # 00245-020",1600247000
1073,Morse Hall,Yes,College/University,275 Brookline Avenue,02115,22000,94.1,Not Available,,College/University,1953,125.5,5.7,2071202.8,0.17,0.83,,39.1,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",0402017000
1074,Morville House: 100 Norway Street,Yes,Multifamily Housing,100 Norway Street,02115,152987,74.1,68,,Multifamily Housing,1972,732.9,4.8,11340900.2,0.26,0.74,,34.1,,,0401452000
1075,Motor Mart Garage,Yes,Parking,201 - 241 Stuart Street,02116,52416,358.1,Not Available,,"Parking, Restaurant",1928,1131.8,21.6,18770834.2,0.16,0.84,,191.9,,,0500139000
1076,Mount Hope Cemetery Administration Building,Municipal,Office,355 Walk Hill St,02126,2400,137.6,Not Available,,Office,2000,6.2,2.6,330196.3,0.19318005683285971,,,,,,Not Available
1077,Mount Hope Cemetery Maintenance Building,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",355 Walk Hill St,02126,6168,62.5,Not Available,,Repair Services,2000,4.4,0.7,385805,0.11921504386931223,,,,,,Not Available
1078,Mount Pleasant,Yes,Multifamily Housing,2 Waverly Street,02119,84000,47.4,99,,Multifamily Housing,1900,244.2,2.9,3982586.3,0.19,0.81,,55.2,,,1001633000
1079,MOZART,Municipal,K-12 School,236 Beech St.,02131,16248,49.8,98,,K-12 School,1932,51.6,3.2,808497.8,0.24576173243761454,0.754238303889015,,,,,Not Available
1080,MP/ORC,Municipal,K-12 School,75 Malcolm X Boulevard,02120,909764,78,13,,K-12 School,1972,4960.9,5.5,70963143.4,0.38490463284635157,0.6150953630364406,,,,,Not Available
1081,MSPCA/Angell,Yes,Other - Specialty Hospital,350 South Huntington Ave,02130,169972,183.9,Not Available,,Other - Specialty Hospital,1954,2190.8,12.9,31258597.8,0.39,0.61,,2.7,,,1002199001
1082,MURPHY,Municipal,K-12 School,1 Worrell St.,02122,147548,147.2,19,,K-12 School,1973,1258.9,8.5,21719949.8,0.11103163783555338,0.8889683608148118,,,,,Not Available
1083,Murr Building,Yes,Indoor Arena,65 North Harvard Street,02134,95594,78.9,Not Available,,"Indoor Arena, Office",1999,651.4,6.8,7541939.4,0.66,,0.34,0,,,2200533000
1084,Museum of Fine Arts,Yes,Museum,465 Huntington Ave,02115,630000,284.8,Not Available,,Museum,1900,12688.1,20.1,179427983.8,0.4,0.6,,40.5,,,0401796000
1085,Museum of Fine Arts Parking Garage,Yes,Parking,20 Museum Rd,02115,163000,6.4,Not Available,,Parking,1987,100.6,0.6,1039346.3,1,,,0.3,,,0401808000
1086,Museum of Science,Yes,Museum,8 Charles River Dam,02114-1099,460555,114.5,Not Available,,"Museum, Parking",1951,3954.4,8.6,52754222,0.46,0.41,,,,"In 2009, the Museum undertook a Detailed Energy Audit (as part of a comprehensive Performance
Contract Initiative) in order to reduce overall energy consumption by 16.27%. Baseline was established as the average over 2 years from April 2007 thru March 2009.  This goal has been surpassed.  The Baseline was also used to establish a 20% reduction by 2020.

Cambridge Building Energy Reporting ID 512-4 & 512-2

Water bills for 2015 only available through 11/30/15 next meter read not scheduled until April 30th 2016",0301290002
1087,Nate Smith House: 155 Lamartine St,Yes,Multifamily Housing,155 Lamartine St,02130,36049,81.2,40,,Multifamily Housing,1998,188.4,5.2,2927706.8,0.26,0.74,,49,,,1900029010
1088,Nazing Court,Yes,Multifamily Housing,1 Nazing Court,02121,113131,100.5,48,,Multifamily Housing,1929,690,6.1,11374436.1,0.17,0.83,,60.4,,,12023670001202365000
1089,Nazzaro Community Center,Municipal,Other - Recreation,32 North Bennet St,02113,28000,65.9,Not Available,,Other - Recreation,2000,113,4,1844832.2,0.1859422466715401,0.8140577580822798,,,,,Not Available
1090,New Academy Estates,Yes,Multifamily Housing,2918 Washington Street,02119,284565,141.9,24,,"Multifamily Housing, Parking",2001,2234.2,7.9,40371278.2,0.05,0.95,,74.3,,,11009150011101752000
1091,New Codman Square Apts,Yes,Multifamily Housing,1749 Dorchester Avenue,02124,77355,106.1,34,,Multifamily Housing,1930,491.4,6.4,8209087.8,0.15,0.85,,67.1,,,160133100016013320001700947000170163400017020800001702103000170250700017025080001704730000
1092,New Dental Research Building,Yes,Laboratory,190 Longwood Ave,02115,70298,343.8,Not Available,,Laboratory,2005,1623,23.1,24165624.8,0.15,0,0.57,14.6,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",0401882000
1093,New East Boston,Municipal,Library,365 Bremen Street,02128,15000,84.9,Not Available,,Library,2013,103.1,6.9,1272995.4,0.638568962621546,0.36143100638855413,,,,,Not Available
1094,New England Aquarium,Yes,Other - Entertainment/Public Assembly,250 Atlantic Ave,02110,136000,181.7,Not Available,,Other - Entertainment/Public Assembly,1969,2390.8,17.6,24712350.1,1,,,118,,"Main Building, Central Wharf

New England Aquarium

Public Aquarium",0302990000
1095,New England Baptist Hospital,Yes,Hospital (General Medical & Surgical),125 Parker Hill Avenue,02120,425000,291.7,7,,"Hospital (General Medical & Surgical), Other, Parking",1893,8924.5,21,123982564.5,0.43,0.57,,64.2,,,1001212000 1001213001
1096,New England Casket Co Inc,Yes,Manufacturing/Industrial Plant,1141 Bennington Street,02128,70000,38.4,Not Available,,Manufacturing/Industrial,1954,259.9,3.7,2686669.8,1,,,3.7,,,Not Available
1097,New England Center for Homeless Veterans,Yes,Barracks,17 Court St.,02108,127134.3,Not Available,Not Available,,Barracks,1908,Not Available,0,Not Available,,,,45.2,,,0302886000
1098,New England Law/Boston,Yes,Other - Education,154 Stuart St.,02116,65000,95.1,Not Available,,Other - Education,1879,518.6,8,6178386.2,0.71,0.29,,1.2,,,0302615000
1099,New Mass Pike Towers,Yes,Multifamily Housing,366 Tremont Street,02116,185200,62.2,100,,Multifamily Housing,1900,561.3,3,11523418.2,,0.92,,92.4,,,0500270000
1100,New Research Building (NRB),Yes,Laboratory,77 Avenue Louis Pasteur,02115,562781,358,Not Available,,"Laboratory, Parking",2003,15924.6,28.3,201503364.4,0.42,0,0.58,50.5,,"The Medical Area Total Energy Plant (MATEP) on Brookline Ave., Boston supplies Steam to the NRB. NSTAR provides electrical service. NRB building operates a 24/7 critical environment laboratory for scientfic research.  ",0401849000
1101,Newfield Woods Condo ASC,Yes,Not Available,97 Anderer LN,02132,Not Available,Not Available,Not Available,,,2000,0,Not Available,Not Available,,,,,,,Not Available
1102,Nike Bldg 3,Municipal,Fire Station,Long Island Road,02171,1500,36.4,Not Available,,Fire Station,2000,5.3,3.5,54598.8,1.0000004395701003,,,,,,Not Available
1103,Nike Bldg 4,Municipal,Fire Station,Long Island Road,02169,1500,0.4,Not Available,,Fire Station,2000,0.1,0,607.3,1.0000592787749054,,,,,,Not Available
1104,Nine Zero-SV,Yes,Hotel,90 Tremont Street,02108,190440,128.4,34,,Hotel,2001,1651.6,8.7,24451703.5,0.33,0.67,,27.7,,,0304697000
1105,Noral Housing: Noral - Algonquin / Bradlee,Yes,Multifamily Housing,12 Algonquin Street,02124,63942,67.7,80,,Multifamily Housing,1970,290.9,4.6,4329477.1,0.32,0.68,,52.9,,,1700075000
1106,North Bennet Street School,Yes,Vocational School,150 North Street,02109,56946,33.1,Not Available,,Vocational School,1932,163.7,2.9,1887146,1,,,4.5,57190,,0303305010 0303306010
1107,North End Branch,Municipal,Library,25 Parmenter St,02113,7600,112,Not Available,,Library,2000,56.8,7.5,851553.1,0.31102357328039787,0.6889763814728641,,,,,Not Available
1108,North End Garage,Yes,Parking,600 Commercial St.,02109-1015,206277,4.2,Not Available,,Parking,1925,83.5,0.4,863429.7,1,,,0.1,,,0301937000
1109,North Hall,Yes,College/University,86 Pilgrim Road,02115,26000,105,Not Available,,College/University,1907,175.5,6.7,2729289.4,0.26,0.74,,50.3,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",0402012000
1110,Northeastern University Big Campus,Yes,College/University,360 Huntington Avenue,02115,4921206,149.7,Not Available,,College/University,1956,50014.4,10.2,736756976.4,0.34,0.66,,26.8,,,Not Available
1111,Northern Ave Bridge Tender House,Municipal,Other - Public Services,5 NORTHERN AV,02210,400,396.9,Not Available,,Other - Public Services,2000,15.4,38.4,158753.5,1.000000226766654,,,,,,Not Available
1112,Northgate Condominium,Yes,Not Available,1254-1258 Commonwealth Avenue,02134,Not Available,Not Available,Not Available,,,1986,219.8,Not Available,3644705.8,0.16,0.84,,,,,2102476000
1113,Norway Housing: 99-103 Norway Street,Yes,Multifamily Housing,99-103 Norway Street,02115,45570,73.7,64,,Multifamily Housing,1978,244.7,5.4,3359706.6,0.23,0.31,,59,,,0401410000
1114,Notre Dame Campus,Yes,Other,17 Highland Park Street,02119,35734,80.4,Not Available,,"Other, Residence Hall/Dormitory",1840,187.5,5.2,2874672.6,0.28,0.72,,15.6,,"Building not in use during calendar year 2013. Manned by a Campus Safety officer 24/7. Various vendors in the buildings to make infrastructure improvements (i.e. doors and locks, IT cabling, etc).

The square footage used for the residence hall is a rough estimate. ",1100706000
1115,Nuestra Palladio,Yes,Office,56 Warren St,02119,15000,66.3,88,,Office,1870,64.1,4.3,994092.7,0.26,0.74,,73.5,,,08025490000802549001
1116,Oak Square Mainsail LLC,Yes,Multifamily Housing,109-111 Tremont Street,02135,62699,66.5,99,,Multifamily Housing,1972,221.5,3.5,4170999.9,,1,,42.9,,,Not Available
1117,Oak Terrace Apartments,Yes,Multifamily Housing,888 Washington Street,02111,110224,65,93,,Multifamily Housing,1994,454.7,4.1,7161419.3,0.24,0.76,,59.8,,,0305484010
1118,Oakwood Boston,Yes,Multifamily Housing,One India St,02109,117588,103.1,1,,"Multifamily Housing, Restaurant",1901,945.3,8,12118292,0.57,0.43,,40.7,,"2015-1 updated occupancy from 90% to 85% per on-site team.
2014-1 aggregated electric use seems high (double other properties' use/apt).  will follow-up with eversource.
2014-2 restaurant website shows open 95.5 hr/week.  so reported 115 hrs/wk seems reasonable.",0303823000
1119,O'DONNELL,Municipal,K-12 School,33 Trenton St.,02128,24648,48,97,,K-12 School,1932,76.4,3.1,1182465.2,0.26306500690252876,0.7369350247178523,,,,,Not Available
1120,O'HEARN,Municipal,K-12 School,1669 Dorchester Ave.,02122,30381,120.9,58,,K-12 School,1957,207.7,6.8,3674063.5,0.07826847848438112,0.9217315250539355,,,,,Not Available
1121,Ohrenberger School,Municipal,K-12 School,175 West Boundary Rd,02132,111592,83,50,,K-12 School,1972,601.9,5.4,9259064.3,0.27246430937951255,0.7275356943357656,,,,,Not Available
1122,Old City Hall,Yes,Office,45 School Street ,02108,97230,85,77,,"Office, Restaurant",1862,678.3,7,8262302.8,0.58,0.15,0.26,26.9,,,Not Available
1123,Old South Church in Boston,Yes,Worship Facility,645 Boylston Street,02116,54860,65.6,Not Available,,Worship Facility,1875,265.1,4.8,3600401.7,0.47,0.53,,0.9,,,Not Available
1124,Old State House,Municipal,Office,206 Washington St,02109,14088,Not Available,Not Available,,Office,2000,0,0,Not Available,,,,,,,Not Available
